,react,C0C7_num
124,F[B-](F)(F)c1ccoc1.[K+],[B-]([c:1]1[cH:2][cH:4][o:4][cH:3]1)([F:4])([F:4])[F:4].[K+:4]
125,F[B-](F)(F)c1ccsc1.[K+],[B-]([c:1]1[cH:2][cH:4][s:4][cH:3]1)([F:4])([F:4])[F:4].[K+:4]
126,F[B-](F)(F)c1cccs1.[K+],[B-]([c:1]1[cH:2][cH:4][cH:4][s:3]1)([F:4])([F:4])[F:4].[K+:4]
127,F[B-](F)(F)c1cccnc1.[K+],[B-]([c:1]1[cH:2][cH:4][cH:4][n:4][cH:3]1)([F:4])([F:4])[F:4].[K+:4]
128,F[B-](F)(F)c1ccncc1.[K+],[B-]([c:1]1[cH:2][cH:4][n:4][cH:4][cH:3]1)([F:4])([F:4])[F:4].[K+:4]
129,F[B-](F)(F)c1cncnc1.[K+],[B-]([c:1]1[cH:2][n:4][cH:4][n:4][cH:3]1)([F:4])([F:4])[F:4].[K+:4]
130,Cc1cc(C)cc(B(O)O)c1,B([c:1]1[cH:2][c:6]([CH3:6])[cH:6][c:6]([CH3:6])[cH:3]1)([OH:4])[OH:5]
131,CC(C)(C)c1ccc(B(O)O)cc1,B([c:1]1[cH:2][cH:6][c:6]([C:6]([CH3:6])([CH3:6])[CH3:6])[cH:6][cH:3]1)([OH:4])[OH:5]
132,OB(O)c1ccc2ccccc2c1,B([c:1]1[cH:2][cH:6][c:6]2[cH:6][cH:6][cH:6][cH:6][c:6]2[cH:3]1)([OH:4])[OH:5]
133,OB(O)c1ccco1,B([c:1]1[cH:2][cH:6][cH:6][o:3]1)([OH:4])[OH:5]
134,OB(O)c1cc2ccccc2o1,B([c:1]1[cH:2][c:6]2[cH:6][cH:6][cH:6][cH:6][c:6]2[o:3]1)([OH:4])[OH:5]
135,Cc1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
136,COc1cccc(B(O)O)c1,B([c:1]1[cH:2][cH:6][cH:6][c:6]([O:6][CH3:6])[cH:3]1)([OH:4])[OH:5]
137,OB(O)c1ccccc1F,B([c:1]1[cH:2][cH:6][cH:6][cH:6][c:3]1[F:6])([OH:4])[OH:5]
138,CC1(C)COB(c2ccccc2)OC1,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
139,CC1(C)COB(c2ccc(C(C)(C)C)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6]([C:6]([CH3:6])([CH3:6])[CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
140,CC1(C)COB(c2ccc(-c3ccccc3)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6](-[c:6]3[cH:6][cH:6][cH:6][cH:6][cH:6]3)[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
141,CN(C)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([N:6]([CH3:6])[CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
142,COC(=O)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([C:6](=[O:6])[O:6][CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
143,CC1(C)COB(c2ccc(F)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6]([F:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
