react,fragC,fragO,product,C0O1_num
CC(C)(C)OCOc1ccccc1,*c1ccccc1,*OCOC(C)(C)C,c2ccc(N1CCOCC1)cc2,c1([O:1][CH2:5][O:4][C:13]([CH3:2])([CH3:3])[CH3:14])[cH:8][cH:9][cH:10][cH:11][cH:12]1
COCOc1ccccc1,*c1ccccc1,*OCOC,c2ccc(N1CCOCC1)cc2,c1([O:1][CH2:2][O:10][CH3:11])[cH:5][cH:6][cH:7][cH:8][cH:9]1
c1ccc(OCOc2ccccc2)cc1,*OCO*,*c1ccccc1,c2ccc(N1CCOCC1)cc2,c1([O:1][CH2:5][O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:2][cH:16][cH:15][cH:14][cH:13]1
CCN(CC)C(=O)Oc1ccccc1,*c1ccccc1,*OC(=O)N(CC)CC,c2ccc(N1CCOCC1)cc2,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:14][CH3:15])=[O:6])[cH:9][cH:10][cH:11][cH:12][cH:13]1
CC(C)(C)C(=O)Oc1ccc(/C=C/c2ccccc2)cc1,*c1ccc(/C=C/c2ccccc2)cc1,*OC(=O)C(C)(C)C,C(=C\c2ccc(N1CCOCC1)cc2)/c3ccccc3,c1([O:1][C:4](=[O:5])[C:21]([CH3:2])([CH3:3])[CH3:22])[cH:8][cH:9][c:10](/[CH:11]=[CH:12]/[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19][cH:20]1
CCN(CC)c1cccc(OC(=O)C(C)(C)C)c1,*c1cccc(N(CC)CC)c1,*OC(=O)C(C)(C)C,CCN(CC)c2cccc(N1CCOCC1)c2,c1([O:1][C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[CH3:16])[cH:8][cH:7][cH:6][c:5]([N:2]([CH2:3][CH3:4])[CH2:19][CH3:18])[cH:17]1
CC(C)(C)C(=O)Oc1cc2ccccc2c2ccccc12,*c1cc2ccccc2c2ccccc12,*OC(=O)C(C)(C)C,c1ccc4c(c1)cc(N2CCOCC2)c3ccccc34,c1([O:1][C:4](=[O:5])[C:21]([CH3:2])([CH3:3])[CH3:22])[cH:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]12
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)OC(C)(C)C,c4ccc3cc(c2nc1ccccc1o2)ccc3c4,c1([O:1][C:5]([O:4][C:18]([CH3:2])([CH3:3])[CH3:19])=[O:6])[cH:9][cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17]1
CC(C)(C)C(=O)Oc1cccnc1,*c1cccnc1,*OC(=O)C(C)(C)C,c3cncc(c2nc1ccccc1o2)c3,c1([O:1][C:4](=[O:5])[C:13]([CH3:2])([CH3:3])[CH3:14])[cH:8][cH:9][cH:10][n:11][cH:12]1
CC(C)(C)C(=O)Oc1ccc2cc(C#N)ccc2c1,*c1ccc2cc(C#N)ccc2c1,*OC(=O)C(C)(C)C,N#Cc4ccc3cc(c2nc1ccccc1o2)ccc3c4,c1([O:1][C:4](=[O:5])[C:19]([CH3:2])([CH3:3])[CH3:20])[cH:8][cH:9][c:10]2[cH:11][c:12]([C:13]#[N:14])[cH:15][cH:16][c:17]2[cH:18]1
