react,C0C7_num
CC(C)C[Al](C#C[Si](C(C)C)(C(C)C)C(C)C)CC(C)C,[Al]([C:1]#[C:1][Si:1]([CH:1]([CH3:1])[CH3:1])([CH:1]([CH3:1])[CH3:1])[CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[CH2:1][CH:1]([CH3:1])[CH3:1]
CC(C)=C[Al](CC(C)C)CC(C)C,[Al]([CH:1]=[C:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[CH2:1][CH:1]([CH3:1])[CH3:1]
c1ccc([Al](c2ccccc2)c2ccccc2)cc1,[Al]([c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)([c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
CC1(C)COB(c2ccc(F)cc2)OC1,B1([c:1]2[cH:1][cH:1][c:1]([F:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CC(C)(C)O[Al](OC(C)(C)C)OC(C)(C)C,[Al]([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])[O:1][C:1]([CH3:1])([CH3:1])[CH3:1]
FB(F)F,B([F:1])([F:1])[F:1]
BrB(Br)Br,B([Br:1])([Br:1])[Br:1]
O=S(=O)(O[Y](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Y]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
O=S(=O)(O[Al](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Al]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
O=S(=O)(O[Zn]OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Zn]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
CCB(CC)CC,B([CH2:1][CH3:1])([CH2:1][CH3:1])[CH2:1][CH3:1]
COB(OC)OC,B([O:1][CH3:1])([O:1][CH3:1])[O:1][CH3:1]
CC(C)(C)O[Zr](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,[Zr]([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])[O:1][C:1]([CH3:1])([CH3:1])[CH3:1]
CC(C)O[Y](OC(C)C)OC(C)C,[Y]([O:1][CH:1]([CH3:1])[CH3:1])([O:1][CH:1]([CH3:1])[CH3:1])[O:1][CH:1]([CH3:1])[CH3:1]
CC(=O)O[Ag],[Ag][O:1][C:1]([CH3:1])=[O:1]
Cl[Zr](Cl)(Cl)Cl,[Zr]([Cl:1])([Cl:1])([Cl:1])[Cl:1]
